hb_bookkey,hb_userkey,hb_codate
98,9,2021-05-17
37,45,2022-05-07
157,96,2021-06-26
178,73,2021-05-03
58,31,2021-11-12
55,35,2022-02-01
64,54,2022-06-13
90,52,2021-02-02
215,15,2021-04-26
198,36,2021-04-19
132,49,2022-03-17
44,96,2021-12-28
183,81,2021-03-13
74,59,2021-05-24
153,92,2021-06-09
204,76,2021-09-08
117,60,2021-06-28
50,1,2021-07-29
133,56,2022-05-26
8,12,2022-03-16
249,92,2022-01-10
54,45,2021-01-29
63,27,2022-04-20
158,86,2021-10-07
188,69,2022-01-27
70,98,2021-10-23
168,98,2021-09-24
250,70,2022-05-02
162,4,2022-03-31
109,88,2021-04-01
188,91,2022-05-29
106,21,2022-04-30
259,35,2021-01-21
142,4,2021-05-02
237,3,2021-06-05
119,12,2021-12-21
88,10,2021-08-12
209,54,2021-04-12
154,43,2022-05-14
22,72,2021-01-01
118,9,2022-04-17
78,91,2021-07-11
250,84,2021-12-12
71,95,2021-03-14
214,76,2022-05-21
72,23,2022-05-05
149,90,2022-03-12
37,53,2021-08-21
269,95,2022-05-09
27,92,2021-03-25
137,54,2021-09-17
270,86,2021-08-18
103,84,2021-08-25
166,6,2022-05-03
172,79,2021-12-17
100,7,2022-05-02
269,91,2022-01-27
228,98,2022-03-24
131,74,2021-10-02
211,23,2021-10-03
102,43,2022-03-09
143,18,2022-02-03
94,44,2021-09-20
124,51,2021-03-14
122,94,2022-04-17
142,30,2021-09-27
5,85,2021-01-27
248,98,2021-03-19
225,53,2021-12-08
171,74,2021-12-17
89,63,2021-04-24
166,12,2021-06-04
189,98,2021-09-08
29,32,2021-08-24
13,24,2021-04-18
178,44,2022-06-06
65,22,2021-02-12
168,2,2021-07-30
264,79,2022-06-04
116,17,2021-11-03
85,27,2021-02-25
109,61,2021-03-19
39,66,2021-04-16
84,60,2021-09-03
215,100,2022-04-05
183,49,2022-03-05
131,93,2022-04-21
219,3,2022-02-10
44,48,2021-02-24
69,67,2022-03-19
70,92,2022-05-13
94,88,2021-06-06
42,29,2022-03-18
18,74,2022-03-15
81,28,2022-05-03
38,46,2021-09-11
70,26,2021-07-15
94,11,2021-09-23
46,3,2021-04-07
125,7,2021-07-17
252,73,2021-05-27
174,86,2022-05-08
81,68,2021-10-23
34,33,2022-05-20
144,100,2021-11-21
72,89,2021-01-07
111,73,2021-06-21
163,70,2021-09-28
173,6,2021-01-30
116,91,2022-01-06
106,70,2022-02-14
129,97,2021-06-22
225,94,2021-12-23
208,80,2021-09-24
234,56,2021-06-09
56,83,2022-03-16
253,48,2022-04-18
160,54,2022-06-27
56,97,2022-06-25
7,32,2022-01-23
133,59,2022-04-20
184,19,2021-11-02
247,44,2021-03-16
108,40,2022-02-13
14,75,2021-07-07
59,86,2021-09-28
227,37,2021-09-22
163,83,2021-04-06
187,42,2021-04-21
269,71,2021-04-20
4,31,2022-01-02
22,84,2022-03-12
269,32,2022-01-19
44,47,2021-09-01
263,97,2022-05-24
143,69,2021-07-24
40,3,2021-08-25
70,5,2021-02-11
96,76,2022-05-13
85,1,2022-02-24
38,21,2022-05-19
23,85,2021-04-09
157,80,2021-08-15
2,62,2021-05-23
166,63,2022-06-06
82,22,2021-10-11
148,73,2021-09-24
209,48,2021-07-30
54,62,2021-03-28
191,22,2021-01-10
